rider_id,name,home_location_id,vehicle_type,capacity,availability_status,current_location_id
1,Aba Mensah,4,Motorbike,2,BUSY,20
2,Abena Osei,63,Motorbike,2,BUSY,48
3,Adjeley Akplu,39,Motorbike,2,BUSY,64
4,Adjoa Gyasi,9,Bicycle,1,BUSY,33
5,Akua Boateng,69,Motorbike,3,BUSY,74
6,Ama Kufuor,14,Bicycle,1,BUSY,28
7,Dela Appiah,12,Bicycle,1,BUSY,33
8,Dela Dzah,12,Bicycle,1,BUSY,29
9,Dela Quaye,70,Tricycle,4,BUSY,8
10,Delali Nkrumah,14,Motorbike,3,BUSY,9
11,Efua Mensah,39,Motorbike,3,BUSY,23
12,Elikem Kufuor,14,Tricycle,3,BUSY,70
13,Enam Otchere,67,Bicycle,1,BUSY,52
14,Enam Sarpong,1,Bicycle,1,BUSY,64
15,Esi Amponsah,38,Bicycle,1,BUSY,33
16,Esi Frimpong,27,Bicycle,1,BUSY,12
17,Fiifi Kufuor,53,Tricycle,3,BUSY,19
18,Kofi Kodjoh,63,Bicycle,1,BUSY,8
19,Kofi Otchere,13,Bicycle,1,BUSY,28
20,Kofi Tetteh,69,Motorbike,2,BUSY,68
21,Korkor Appiah,38,Motorbike,3,BUSY,52
22,Korkor Gyasi,62,Bicycle,1,BUSY,28
23,Korkor Ofori,61,Bicycle,1,BUSY,64
24,Kwabena Quaye,27,Bicycle,1,BUSY,18
25,Kwame Frimpong,4,Tricycle,3,BUSY,13
26,Kwesi Amaniampong,73,Motorbike,3,AVAILABLE,73
27,Kwesi Asante,74,Bicycle,1,AVAILABLE,74
28,Kwesi Okoe,53,Tricycle,4,AVAILABLE,53
29,Mawuli Amponsah,70,Tricycle,4,AVAILABLE,70
30,Mawuli Gyasi,73,Motorbike,3,AVAILABLE,73
31,Mawuli Owusu,70,Tricycle,4,AVAILABLE,70
32,Nii Otchere,70,Bicycle,1,AVAILABLE,70
33,Selorm Adjei,23,Motorbike,2,AVAILABLE,23
34,Selorm Tetteh,73,Motorbike,2,AVAILABLE,73
35,Sena Agyeman,39,Motorbike,3,AVAILABLE,39
36,Sena Nkrumah,76,Motorbike,3,AVAILABLE,76
37,Tetteh Normanyo,4,Motorbike,3,AVAILABLE,4
38,Yaa Frimpong,76,Motorbike,3,AVAILABLE,76
39,Yaa Osafo,74,Motorbike,3,AVAILABLE,74
40,Yaw Adjei,63,Motorbike,2,AVAILABLE,63
